bnr,name,datum,ecoli,entero,temp_c,sicht_m
199,"Horstfelde, Wasserskianlage, Kiessee",2026-05-04,15.0,15.0,18.5,2.2
199,"Horstfelde, Wasserskianlage, Kiessee",2026-06-02,15.0,15.0,21.9,2.5
199,"Horstfelde, Wasserskianlage, Kiessee",2026-07-01,46.0,15.0,24.9,1.7
200,"Rangsdorf, Strand am Kiessee, Kiessee",2026-05-04,94.0,15.0,19.0,1.5
200,"Rangsdorf, Strand am Kiessee, Kiessee",2026-06-02,30.0,15.0,22.9,1.2
200,"Rangsdorf, Strand am Kiessee, Kiessee",2026-07-01,15.0,15.0,26.2,1.3
201,"Kliestow, Strand, Kliestower See",2026-05-04,46.0,15.0,21.0,1.0
201,"Kliestow, Strand, Kliestower See",2026-06-02,15.0,30.0,23.1,0.8
201,"Kliestow, Strand, Kliestower See",2026-07-01,127.0,15.0,26.0,0.7
202,"Erholungsgebiet Körbaer Teich, Körbaer See",2026-05-04,15.0,15.0,20.3,1.2
202,"Erholungsgebiet Körbaer Teich, Körbaer See",2026-06-01,15.0,15.0,23.0,1.0
202,"Erholungsgebiet Körbaer Teich, Körbaer See",2026-07-02,15.0,15.0,25.9,0.8
203,"Sperenberg, Strandbad, Krummer See",2026-05-04,15.0,15.0,18.5,1.0
203,"Sperenberg, Strandbad, Krummer See",2026-06-04,15.0,15.0,21.7,0.7
203,"Sperenberg, Strandbad, Krummer See",2026-07-02,46.0,15.0,22.1,0.7
204,"Mahlow, Strand, Mahlower See",2026-05-05,77.0,46.0,19.0,1.3
204,"Mahlow, Strand, Mahlower See",2026-06-02,15.0,868.0,24.0,1.4
204,"Mahlow, Strand, Mahlower See",2026-06-10,15.0,15.0,22.0,1.4
204,"Mahlow, Strand, Mahlower See",2026-07-01,15.0,15.0,26.2,0.9
205,"Klausdorf, Strandbad, Mellensee",2026-05-04,15.0,46.0,18.7,1.0
205,"Klausdorf, Strandbad, Mellensee",2026-06-04,15.0,15.0,21.9,0.7
205,"Klausdorf, Strandbad, Mellensee",2026-07-02,299.0,30.0,22.5,0.8
206,"Mellensee, Strandbad, Mellensee",2026-05-04,46.0,45.0,18.1,0.5
206,"Mellensee, Strandbad, Mellensee",2026-06-04,94.0,15.0,21.9,0.7
206,"Mellensee, Strandbad, Mellensee",2026-07-02,109.0,15.0,22.7,0.6
207,"Kallinchen, Campingplatz, Motzener See",2026-05-04,15.0,15.0,17.4,1.5
207,"Kallinchen, Campingplatz, Motzener See",2026-06-04,30.0,15.0,21.0,1.6
207,"Kallinchen, Campingplatz, Motzener See",2026-07-02,77.0,15.0,22.5,1.7
208,"Kallinchen, Campingplatz, AKK, Motzener See",2026-05-04,15.0,15.0,18.1,1.0
208,"Kallinchen, Campingplatz, AKK, Motzener See",2026-06-04,15.0,15.0,21.6,1.3
208,"Kallinchen, Campingplatz, AKK, Motzener See",2026-07-02,30.0,15.0,22.7,1.4
209,"Kallinchen, Strandbad, Motzener See",2026-05-04,15.0,15.0,17.9,1.0
209,"Kallinchen, Strandbad, Motzener See",2026-06-04,30.0,15.0,21.3,1.3
209,"Kallinchen, Strandbad, Motzener See",2026-07-02,144.0,30.0,22.6,1.3
210,"Rangsdorf, Strand am Rangsdorfer See, Rangsdorfer See",2026-05-04,15.0,15.0,20.4,0.4
210,"Rangsdorf, Strand am Rangsdorfer See, Rangsdorfer See",2026-06-02,1154.0,3044.0,24.1,0.4
210,"Rangsdorf, Strand am Rangsdorfer See, Rangsdorfer See",2026-06-10,30.0,15.0,22.0,0.4
210,"Rangsdorf, Strand am Rangsdorfer See, Rangsdorfer See",2026-07-01,61.0,15.0,26.3,0.35
211,"Siethen, Strand Potsdamer Chaussee, Ortsausgang, Siethener See",2026-05-05,30.0,15.0,19.1,1.5
211,"Siethen, Strand Potsdamer Chaussee, Ortsausgang, Siethener See",2026-06-02,77.0,767.0,24.4,1.5
211,"Siethen, Strand Potsdamer Chaussee, Ortsausgang, Siethener See",2026-06-10,15.0,15.0,22.0,1.3
211,"Siethen, Strand Potsdamer Chaussee, Ortsausgang, Siethener See",2026-07-01,15.0,15.0,27.2,1.3
212,"Dobbrikow, Strand, Vordersee",2026-05-04,15.0,15.0,20.9,1.0
212,"Dobbrikow, Strand, Vordersee",2026-06-02,61.0,419.0,23.0,1.3
212,"Dobbrikow, Strand, Vordersee",2026-07-01,15.0,30.0,26.6,1.3
213,"Brüssow, Seebad, Brüssower See",2026-05-07,15.0,15.0,15.2,1.2
213,"Brüssow, Seebad, Brüssower See",2026-06-04,15.0,15.0,21.2,2.0
213,"Brüssow, Seebad, Brüssower See",2026-07-02,15.0,15.0,25.0,1.0
214,"Thomsdorf, Carwitzer See",2026-05-12,15.0,15.0,14.1,3.0
214,"Thomsdorf, Carwitzer See",2026-06-09,15.0,15.0,20.2,3.0
214,"Thomsdorf, Carwitzer See",2026-07-07,15.0,15.0,20.1,4.0
215,"Thomsdorf, Campingplatz, Dreetzsee",2026-05-12,15.0,15.0,15.9,2.5
215,"Thomsdorf, Campingplatz, Dreetzsee",2026-06-09,15.0,15.0,20.4,2.0
215,"Thomsdorf, Campingplatz, Dreetzsee",2026-07-07,15.0,15.0,21.1,2.5
216,"Templin, Campingplatz, Fährsee",2026-05-04,30.0,15.0,16.4,1.8
216,"Templin, Campingplatz, Fährsee",2026-06-01,15.0,15.0,23.4,2.0
216,"Templin, Campingplatz, Fährsee",2026-06-29,272.0,15.0,23.3,1.5
217,"Klosterwalde, Zeltplatz, Gleuensee",2026-05-04,15.0,15.0,17.4,1.4
217,"Klosterwalde, Zeltplatz, Gleuensee",2026-06-01,15.0,15.0,23.2,0.5
217,"Klosterwalde, Zeltplatz, Gleuensee",2026-06-29,15.0,15.0,23.2,0.8
218,"Gollin, Gollinsee",2026-05-12,15.0,15.0,15.4,5.0
218,"Gollin, Gollinsee",2026-06-08,15.0,15.0,20.1,5.0
218,"Gollin, Gollinsee",2026-07-06,15.0,15.0,22.0,3.5
219,"Rutenberg, Großer Kronsee",2026-05-07,15.0,15.0,15.0,2.5
219,"Rutenberg, Großer Kronsee",2026-06-04,15.0,15.0,20.0,3.0
219,"Rutenberg, Großer Kronsee",2026-07-02,15.0,15.0,24.3,3.5
220,"Gramzow, Großer Kuhsee",2026-05-04,15.0,15.0,16.8,2.2
220,"Gramzow, Großer Kuhsee",2026-06-01,15.0,15.0,20.7,3.2
220,"Gramzow, Großer Kuhsee",2026-06-29,46.0,15.0,26.6,3.8
221,"Lychen, Strandbad, Großer Lychensee",2026-05-07,15.0,15.0,14.4,0.9
221,"Lychen, Strandbad, Großer Lychensee",2026-06-04,15.0,15.0,19.9,1.0
221,"Lychen, Strandbad, Großer Lychensee",2026-07-02,77.0,15.0,24.3,1.1
222,"Hohengüstow, Großer See",2026-05-04,15.0,15.0,18.1,1.0
222,"Hohengüstow, Großer See",2026-06-01,15.0,15.0,21.5,0.5
222,"Hohengüstow, Großer See",2026-06-29,15.0,15.0,27.2,1.8
223,"Fürstenwerder, Großer See",2026-05-05,15.0,15.0,15.3,1.2
223,"Fürstenwerder, Großer See",2026-06-02,15.0,15.0,20.3,2.8
223,"Fürstenwerder, Großer See",2026-06-30,15.0,15.0,25.1,3.0
224,"Groß Väter, Großer Vätersee",2026-05-12,15.0,15.0,16.3,2.5
224,"Groß Väter, Großer Vätersee",2026-06-08,15.0,15.0,20.3,2.5
224,"Groß Väter, Großer Vätersee",2026-07-06,15.0,15.0,20.8,2.0
225,"Warthe, Großer Warthesee",2026-05-04,15.0,15.0,17.4,2.5
225,"Warthe, Großer Warthesee",2026-06-01,15.0,15.0,22.3,2.5
225,"Warthe, Großer Warthesee",2026-06-29,15.0,15.0,23.4,2.5
226,"Hardenbeck, Haussee",2026-05-12,15.0,15.0,16.1,2.0
226,"Hardenbeck, Haussee",2026-06-09,15.0,15.0,20.3,2.2
226,"Hardenbeck, Haussee",2026-07-07,15.0,15.0,20.0,1.0
227,"Retzow, Kastaven, Kastavensee",2026-05-07,15.0,15.0,16.0,2.0
227,"Retzow, Kastaven, Kastavensee",2026-06-04,15.0,15.0,20.5,2.5
227,"Retzow, Kastaven, Kastavensee",2026-07-02,15.0,15.0,24.6,2.0
228,"Falkenwalde,  OT Neu Kleinow, Kleinowsee",2026-05-04,15.0,15.0,17.2,2.5
228,"Falkenwalde,  OT Neu Kleinow, Kleinowsee",2026-06-01,15.0,15.0,20.7,3.0
228,"Falkenwalde,  OT Neu Kleinow, Kleinowsee",2026-06-29,15.0,15.0,26.9,3.5
229,"Milmersdorf, OT Petersdorf, Lübbesee",2026-05-12,15.0,15.0,17.5,2.2
229,"Milmersdorf, OT Petersdorf, Lübbesee",2026-06-08,15.0,15.0,19.8,2.8
229,"Milmersdorf, OT Petersdorf, Lübbesee",2026-07-06,15.0,15.0,20.7,2.0
230,"Templin, Seehotel, Lübbesee",2026-05-12,15.0,15.0,16.1,3.0
230,"Templin, Seehotel, Lübbesee",2026-06-08,15.0,15.0,19.8,2.5
230,"Templin, Seehotel, Lübbesee",2026-07-06,15.0,15.0,20.2,2.0
231,"Lützlow, Lützlower See",2026-05-04,15.0,15.0,17.4,2.5
231,"Lützlow, Lützlower See",2026-06-01,15.0,15.0,20.4,3.0
231,"Lützlow, Lützlower See",2026-06-29,46.0,15.0,26.6,4.2
232,"Naugarten, Naugartener See",2026-05-05,15.0,15.0,16.5,1.8
232,"Naugarten, Naugartener See",2026-06-02,15.0,15.0,21.0,2.5
232,"Naugarten, Naugartener See",2026-06-30,15.0,15.0,25.8,2.8
233,"Fergitz, Oberuckersee",2026-05-06,15.0,15.0,15.1,2.5
233,"Fergitz, Oberuckersee",2026-06-01,15.0,15.0,22.4,3.0
233,"Fergitz, Oberuckersee",2026-06-30,15.0,15.0,23.5,2.2
234,"Warnitz - Quast, Oberuckersee",2026-05-06,15.0,15.0,15.3,2.2
234,"Warnitz - Quast, Oberuckersee",2026-06-03,15.0,15.0,21.2,3.0
234,"Warnitz - Quast, Oberuckersee",2026-07-01,15.0,15.0,24.7,3.2
235,"Stegelitz, Schifferhof, Oberuckersee",2026-05-06,15.0,15.0,16.5,2.3
235,"Stegelitz, Schifferhof, Oberuckersee",2026-06-02,15.0,15.0,22.4,3.0
235,"Stegelitz, Schifferhof, Oberuckersee",2026-06-30,15.0,15.0,23.5,2.0
236,"Warnitz, Campingplatz, Oberuckersee",2026-05-06,15.0,15.0,15.3,1.5
236,"Warnitz, Campingplatz, Oberuckersee",2026-06-03,15.0,15.0,21.2,3.2
236,"Warnitz, Campingplatz, Oberuckersee",2026-07-01,61.0,46.0,25.7,2.5
237,"Warnitz, Ferienhaussiedlung, Oberuckersee",2026-05-06,15.0,30.0,15.3,2.2
237,"Warnitz, Ferienhaussiedlung, Oberuckersee",2026-06-03,15.0,15.0,21.2,3.0
237,"Warnitz, Ferienhaussiedlung, Oberuckersee",2026-07-01,15.0,15.0,24.8,3.2
238,"Röddelin, Zeltplatz, Röddelinsee",2026-05-06,15.0,15.0,15.8,0.8
238,"Röddelin, Zeltplatz, Röddelinsee",2026-06-03,15.0,15.0,20.9,1.8
238,"Röddelin, Zeltplatz, Röddelinsee",2026-07-01,15.0,15.0,23.6,1.2
239,"Templin, OT Hindenburg, Röddelinsee",2026-05-06,15.0,15.0,16.1,0.8
239,"Templin, OT Hindenburg, Röddelinsee",2026-06-03,15.0,15.0,21.3,2.0
239,"Templin, OT Hindenburg, Röddelinsee",2026-07-01,30.0,15.0,23.3,2.0
240,"Willmine, Sabinensee",2026-05-06,15.0,15.0,17.8,1.4
240,"Willmine, Sabinensee",2026-06-02,15.0,15.0,23.1,1.6
240,"Willmine, Sabinensee",2026-06-30,30.0,15.0,23.5,2.0
241,"Boitzenburg, Schumellensee",2026-05-12,15.0,15.0,16.0,1.0
241,"Boitzenburg, Schumellensee",2026-06-09,15.0,15.0,20.6,1.5
241,"Boitzenburg, Schumellensee",2026-07-07,15.0,15.0,19.3,1.5
242,"Templin, Freibad, Templiner See",2026-05-06,15.0,15.0,15.2,0.7
242,"Templin, Freibad, Templiner See",2026-06-03,15.0,15.0,21.1,0.6
242,"Templin, Freibad, Templiner See",2026-06-30,109.0,15.0,23.5,0.8
243,"Templin, Schinderkuhle, Templiner See",2026-05-06,15.0,15.0,15.1,0.7
243,"Templin, Schinderkuhle, Templiner See",2026-06-03,15.0,15.0,20.9,0.6
243,"Templin, Schinderkuhle, Templiner See",2026-06-30,110.0,126.0,23.3,0.8
244,"Prenzlau, Am Kap, Unteruckersee",2026-05-05,15.0,15.0,14.5,3.5
244,"Prenzlau, Am Kap, Unteruckersee",2026-06-02,30.0,15.0,20.1,4.0
244,"Prenzlau, Am Kap, Unteruckersee",2026-06-30,15.0,15.0,24.5,1.0
245,"Prenzlau, Seebadeanstalt, Unteruckersee",2026-05-05,15.0,15.0,14.5,3.5
245,"Prenzlau, Seebadeanstalt, Unteruckersee",2026-06-02,15.0,15.0,19.8,4.0
245,"Prenzlau, Seebadeanstalt, Unteruckersee",2026-06-30,15.0,15.0,24.5,1.0
246,"Röpersdorf, Unteruckersee",2026-05-05,15.0,15.0,14.9,2.0
246,"Röpersdorf, Unteruckersee",2026-06-02,15.0,15.0,20.0,3.0
246,"Röpersdorf, Unteruckersee",2026-06-30,15.0,15.0,25.0,3.5
247,"Angermünde, Strandbad, Wolletzsee",2026-05-06,15.0,15.0,15.0,2.7
247,"Angermünde, Strandbad, Wolletzsee",2026-06-03,15.0,15.0,19.8,3.5
247,"Angermünde, Strandbad, Wolletzsee",2026-07-01,15.0,15.0,24.7,1.5
248,"Lychen, Zeltplatz 79, Wurlsee",2026-05-07,15.0,15.0,14.3,2.5
248,"Lychen, Zeltplatz 79, Wurlsee",2026-06-04,77.0,15.0,19.8,2.5
248,"Lychen, Zeltplatz 79, Wurlsee",2026-07-02,161.0,534.0,24.3,2.5
249,"Retzow, Wurlgrund, Wurlsee",2026-05-07,15.0,30.0,14.5,2.0
249,"Retzow, Wurlgrund, Wurlsee",2026-06-04,15.0,15.0,20.0,3.0
249,"Retzow, Wurlgrund, Wurlsee",2026-07-02,93.0,15.0,24.2,2.5
251,"Templin, OT Ahrensdorf, Zaarsee",2026-05-04,30.0,30.0,17.4,2.0
251,"Templin, OT Ahrensdorf, Zaarsee",2026-06-01,15.0,15.0,24.3,1.2
251,"Templin, OT Ahrensdorf, Zaarsee",2026-06-29,15.0,15.0,23.3,1.5
253,"Lychen, Heilstätten, Zenssee",2026-05-07,15.0,15.0,14.1,2.5
253,"Lychen, Heilstätten, Zenssee",2026-06-04,15.0,15.0,19.8,3.5
253,"Lychen, Heilstätten, Zenssee",2026-07-02,15.0,15.0,24.5,1.8
259,"Halbe, Heidesee",2026-05-04,15.0,15.0,17.6,1.3
259,"Halbe, Heidesee",2026-06-01,15.0,15.0,21.6,2.0
259,"Halbe, Heidesee",2026-06-29,15.0,1274.0,27.4,2.0
259,"Halbe, Heidesee",2026-07-03,291.0,159.0,24.0,2.0
260,"Ruhlsdorf, Strand, Feriendorf ""Dorado"", Ruhlesee",2026-05-05,15.0,46.0,17.9,2.5
260,"Ruhlsdorf, Strand, Feriendorf ""Dorado"", Ruhlesee",2026-06-01,15.0,15.0,19.4,3.0
260,"Ruhlsdorf, Strand, Feriendorf ""Dorado"", Ruhlesee",2026-06-02,15.0,15.0,21.7,3.0
260,"Ruhlsdorf, Strand, Feriendorf ""Dorado"", Ruhlesee",2026-06-30,15.0,15.0,26.9,2.0
263,"Storkow, Karlslust, Storkower See",2026-05-05,15.0,15.0,,2.0
263,"Storkow, Karlslust, Storkower See",2026-06-02,110.0,15.0,21.5,2.0
263,"Storkow, Karlslust, Storkower See",2026-06-30,15.0,15.0,25.0,2.0
264,"Grünheide, Nordstrand, Werlsee",2026-05-04,15.0,15.0,17.6,2.0
264,"Grünheide, Nordstrand, Werlsee",2026-06-01,15.0,15.0,21.0,2.0
264,"Grünheide, Nordstrand, Werlsee",2026-06-29,46.0,15.0,26.9,2.0
265,"SpreeLagune Lübben/Spreewald, Spree",2026-05-04,15.0,15.0,16.7,1.6
265,"SpreeLagune Lübben/Spreewald, Spree",2026-06-01,77.0,15.0,20.3,1.5
265,"SpreeLagune Lübben/Spreewald, Spree",2026-06-29,3888.0,251.0,26.7,1.0
265,"SpreeLagune Lübben/Spreewald, Spree",2026-07-03,94.0,30.0,22.3,1.8
266,"Grillendamm, Beetzsee",2026-05-04,30.0,15.0,17.2,1.0
266,"Grillendamm, Beetzsee",2026-06-01,110.0,15.0,22.0,1.1
266,"Grillendamm, Beetzsee",2026-06-29,110.0,61.0,28.2,0.3
267,"Temmen-Ringenwalde, Großer Krinertsee",2026-05-06,15.0,15.0,17.6,2.0
267,"Temmen-Ringenwalde, Großer Krinertsee",2026-06-02,15.0,15.0,21.9,1.8
267,"Temmen-Ringenwalde, Großer Krinertsee",2026-06-30,15.0,15.0,23.6,2.0
268,"Schmölln, Schmöllner See",2026-05-07,15.0,15.0,14.7,0.8
268,"Schmölln, Schmöllner See",2026-06-04,15.0,15.0,20.8,0.6
268,"Schmölln, Schmöllner See",2026-07-02,15.0,15.0,23.3,1.0
269,"Schwaneberg, Mühlensee",2026-05-07,15.0,15.0,14.9,0.9
269,"Schwaneberg, Mühlensee",2026-06-04,30.0,15.0,20.1,1.5
269,"Schwaneberg, Mühlensee",2026-07-02,15.0,15.0,23.4,1.0
270,"Flecken Zechlin, An der alten Schneidemühle, Großer Zechliner See",2026-05-05,15.0,15.0,15.0,3.0
270,"Flecken Zechlin, An der alten Schneidemühle, Großer Zechliner See",2026-06-02,15.0,15.0,21.0,3.0
270,"Flecken Zechlin, An der alten Schneidemühle, Großer Zechliner See",2026-07-01,15.0,15.0,24.0,3.0
271,"Petershagen, Großer Trepliner See",2026-05-06,15.0,15.0,16.0,3.0
271,"Petershagen, Großer Trepliner See",2026-06-03,15.0,15.0,21.6,2.5
271,"Petershagen, Großer Trepliner See",2026-07-01,15.0,15.0,25.5,2.5
273,"Lenzen, Rudower See",2026-05-06,15.0,15.0,14.8,2.1
273,"Lenzen, Rudower See",2026-06-03,30.0,30.0,20.8,1.0
273,"Lenzen, Rudower See",2026-07-01,15.0,15.0,26.3,1.0
274,"Warnitz, Am Schiffsanleger, Oberuckersee",2026-05-06,15.0,15.0,15.7,2.2
274,"Warnitz, Am Schiffsanleger, Oberuckersee",2026-06-03,61.0,15.0,21.2,3.0
274,"Warnitz, Am Schiffsanleger, Oberuckersee",2026-07-01,15.0,15.0,25.8,2.5
275,"An der Badewiese, Groß Glienicker See",2026-05-04,15.0,15.0,17.5,2.0
275,"An der Badewiese, Groß Glienicker See",2026-06-02,15.0,15.0,22.1,2.0
275,"An der Badewiese, Groß Glienicker See",2026-06-30,179.0,110.0,26.9,1.4
276,"Rathenow, Wolzensee",2026-05-04,144.0,30.0,20.4,1.5
276,"Rathenow, Wolzensee",2026-06-01,15.0,15.0,22.5,2.0
276,"Rathenow, Wolzensee",2026-06-29,30.0,15.0,28.1,2.0
277,"Laasow/Wüstenhain, Gräbendorfer See",2026-05-04,15.0,15.0,15.3,2.5
277,"Laasow/Wüstenhain, Gräbendorfer See",2026-06-01,15.0,15.0,21.4,2.5
277,"Laasow/Wüstenhain, Gräbendorfer See",2026-06-29,30.0,30.0,26.8,2.0
278,"Reddern, Gräbendorfer See",2026-05-04,94.0,15.0,15.2,2.0
278,"Reddern, Gräbendorfer See",2026-06-01,15.0,15.0,21.8,2.0
278,"Reddern, Gräbendorfer See",2026-06-29,15.0,15.0,25.7,1.5
279,"Templin, OT Beutel, Großer Beutelsee",2026-05-06,15.0,15.0,16.8,1.0
279,"Templin, OT Beutel, Großer Beutelsee",2026-06-03,15.0,15.0,21.3,1.1
279,"Templin, OT Beutel, Großer Beutelsee",2026-07-01,15.0,15.0,23.5,1.2
280,"Flussbadestelle Schwedt/Oder, Hohensaaten-Friedrichsthaler Wasserstraße",2026-05-06,353.0,30.0,14.2,0.8
280,"Flussbadestelle Schwedt/Oder, Hohensaaten-Friedrichsthaler Wasserstraße",2026-05-20,46.0,15.0,16.0,1.5
280,"Flussbadestelle Schwedt/Oder, Hohensaaten-Friedrichsthaler Wasserstraße",2026-06-03,61.0,15.0,21.0,1.2
280,"Flussbadestelle Schwedt/Oder, Hohensaaten-Friedrichsthaler Wasserstraße",2026-06-17,61.0,15.0,18.3,1.1
280,"Flussbadestelle Schwedt/Oder, Hohensaaten-Friedrichsthaler Wasserstraße",2026-07-01,30.0,15.0,25.8,1.0
281,"Göttlin, Biwakplatz, Havel",2026-05-04,15.0,15.0,18.7,1.5
281,"Göttlin, Biwakplatz, Havel",2026-06-01,61.0,15.0,22.4,2.0
281,"Göttlin, Biwakplatz, Havel",2026-06-29,15.0,15.0,26.9,1.5
282,"Grütz, Biwakplatz, Havel",2026-05-04,15.0,15.0,18.7,1.5
282,"Grütz, Biwakplatz, Havel",2026-06-01,15.0,15.0,22.8,2.0
282,"Grütz, Biwakplatz, Havel",2026-06-29,15.0,15.0,26.3,1.2
283,"Zehdenick OT Zabelsdorf, Großer Wentowsee",2026-05-04,15.0,15.0,19.7,0.4
283,"Zehdenick OT Zabelsdorf, Großer Wentowsee",2026-06-01,15.0,15.0,22.2,0.4
283,"Zehdenick OT Zabelsdorf, Großer Wentowsee",2026-06-29,15.0,15.0,28.0,0.3
284,"Dranse, Dranser See",2026-05-06,15.0,15.0,15.0,2.0
284,"Dranse, Dranser See",2026-06-02,15.0,15.0,21.0,2.0
284,"Dranse, Dranser See",2026-07-01,15.0,15.0,25.0,2.0
285,"Strausberg, Seetafel 9, Straussee",2026-05-06,30.0,30.0,14.7,3.0
285,"Strausberg, Seetafel 9, Straussee",2026-06-03,15.0,15.0,20.8,4.0
285,"Strausberg, Seetafel 9, Straussee",2026-07-01,15.0,15.0,26.5,4.0
286,"Garzin, Langer See",2026-05-06,15.0,15.0,17.7,1.5
286,"Garzin, Langer See",2026-06-03,15.0,61.0,21.5,1.8
286,"Garzin, Langer See",2026-07-01,46.0,15.0,25.8,1.4
287,"Bralitz, Dornbuschsee",2026-05-05,15.0,15.0,17.0,1.5
287,"Bralitz, Dornbuschsee",2026-06-02,15.0,15.0,21.3,2.0
287,"Bralitz, Dornbuschsee",2026-06-30,77.0,30.0,26.3,1.5
