BadName;Bezirk;Profil;RSS_Name;Latitude;Longitude;ProfilLink;BadestelleLink;Dat;Sicht;Eco;Ente;Farbe;BSL;Algen;Wasserqualitaet;cb;Temp;PDFLink;PrognoseLink;Farb_ID;Bemerkung;Weitere_Hinweise;Wasserqualitaet_predict;Dat_predict;FARB_ID;Wasserqualitaet_lageso;p2_5;p50;p90;p95;p97_5;classification
Kleiner Müggelsee;Treptow-Köpenick;Großer Müggelsee;Kleiner Müggelsee;52,428217;13,677621;"""Großer Müggelsee - Kleiner Müggelsee(Link zum Badegewässerprofil Kleiner Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.386749.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344328.php;07.07.2026;1,1;<15;<15;gruen.jpg;B112;;1;<300;20,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad12.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Krumme Lanke;Steglitz-Zehlendorf;Grunewaldseen;Krumme Lanke;52,45219;13,232416;"""Grunewaldseen - Krumme Lanke(Link zum Badegewässerprofil Krumme Lanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339151.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344355.php;30.06.2026;> 1;15;15;gruen.jpg;B950;;1;<300;27;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad13.pdf";;1;keine;Zerkarien möglich;nicht zutreffend;;1;1;;;;;;
Lieper Bucht;Steglitz-Zehlendorf;Unterhavel;Lieper Bucht / Havel;52,469332;13,196721;"""Unterhavel - Lieper Bucht(Link zum Badegewässerprofil Unterhavel Lieper Bucht)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339132.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344358.php;09.07.2026;> 1;15;<15;gruen_prog.jpg;B331;;11;<300;20,9;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad34.pdf";"""Erklärung zum Frühwarnsystem(Link zur Erklärung zum Frühwarnsystem)"":http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/fruehwarnsystem-unterhavel/index.php";11;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gut;2026-07-19;11;11;0,5615791852286791;1,7335734405505718;2,4998992937623683;2,7171420248911113;2,905567695872464;gut
Lübars, Strandbad (Ziegeleisee);Reinickendorf;Ziegeleisee;Strandbad Lübars (Ziegeleisee);52,61795;13,336049;"""Ziegeleisee - Freibad Lübars Ziegeleisee (Link zum Badegewässerprofil Ziegeleisee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339148.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344336.php;08.07.2026;1,8;93;15;gruen.jpg;B926;;1;<300;21,6;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad14.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Müggelsee, Strandbad;Treptow-Köpenick;Großer Müggelsee;Strandbad Müggelsee;52,444719;13,675901;"""Großer Müggelsee - Strandbad Müggelsee(Link zum Badegewässerprofil Strandbad Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339112.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344329.php;07.07.2026;1,4;<15;<15;gruen.jpg;B116;;1;<300;19,9;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad15.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Orankesee, Strandbad;Lichtenberg;Orankesee;Strandbad Orankesee;52,549596;13,484255;"""Orankesee - Strandbad Orankesee(Link zum Badegewässerprofil Orankesee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339144.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.347246.php;08.07.2026;2,2;<15;<15;gruen.jpg;B911;;1;<300;21,6;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad18.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Plötzensee, Strandbad;Mitte;Plötzensee;Strandbad Plötzensee;52,543601;13,32923;"""Plötzensee - Freibad Plötzensee(Link zum Badegewässerprofil Freibad Plötzensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339145.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344353.php;08.07.2026;1;<15;15;gruen.jpg;B915;;1;<300;21;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad19.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Radfahrerwiese;Steglitz-Zehlendorf;Unterhavel;Radfahrerwiese / Havel;52,458612;13,189634;"""Unterhavel - Radfahrerwiese(Link zum Badegewässerprofil Unterhavel Radfahrerwiese)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339135.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344357.php;09.07.2026;< 1;<15;61;gruen_prog.jpg;B336;;11;<300;19,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad35.pdf";"""Erklärung zum Frühwarnsystem(Link zur Erklärung zum Frühwarnsystem)"":http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/fruehwarnsystem-unterhavel/index.php";11;keine;Vermehrt Blaualgen vorhanden. Gemäß UBA-Empfehlung finden zusätzliche Untersuchugen auf Blaualgen-Toxine statt.;ausgezeichnet;2026-07-19;11;11;0,5134772691161286;1,1407263679012813;1,5508625086034753;1,6671304055657377;1,767975466686434;ausgezeichnet
Sandhauser Straße;Reinickendorf;Oberhavel;Sandhauser Straße / Havel;52,594572;13,220866;"""Oberhavel - Sandhauser Straße(Link zum Badegewässerprofil Sandhauser Staße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339122.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344341.php;13.07.2026;0,8;<15;<15;gruen.jpg;B302;;1;<300;23,7;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad17.pdf";;1;keine;keine;nicht zutreffend;;1;1;;;;;;
Schlachtensee;Steglitz-Zehlendorf;Grunewaldseen;Schlachtensee;52,443358;13,217128;"""Grunewaldseen - Schlachtensee(Link zum Badegewässerprofil Schlachtensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339152.php";https://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344356.php;30.06.2026;> 1;<15;<15;gruen.jpg;B955;;1;<300;27,2;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad20.pdf";;1;keine;Zerkarien möglich;nicht zutreffend;;1;1;;;;;;
