BadName;Prob_Datum;Escherichia coli<br> (KBE/ 100 ml);Intestinale Enterokokken<br> (KBE/ 100 ml);Coliforme Bakterien <br>(KBE/ 100 ml);Sichttiefe <br> (m);Cyanobakterien Chl a <br>(µg/ l);Wassertemperatur <br> (°C);Aktuelle Warnhinweise;Weitere Informationen;Farbe
Gartenstraße, Flussbad;07.07.2026;15;<15;<300;1;0,9;20,8;keine;keine;gruen
Weißensee, Strandbad;08.07.2026;15;30;360;>0,80;0;22;keine;keine;gruen
Orankesee, Strandbad;08.07.2026;<15;<15;<300;2,2;0;21,6;keine;keine;gruen
Plötzensee, Strandbad;08.07.2026;<15;15;<300;1;1,1;21;keine;keine;gruen
Flughafensee;08.07.2026;61;<15;360;> 1;0,2;21,2;keine;keine;gruen
Jungfernheide, Strandbad;08.07.2026;15;61;<300;>2,30;0,2;20,7;keine;keine;gruen
Heiligensee, Strandbad;08.07.2026;15;<15;<300;1,9;3,2;20,7;keine;keine;gruen
Lübars, Strandbad (Ziegeleisee);08.07.2026;93;15;<300;1,8;3,7;21,6;keine;keine;gruen
Halensee, Strandbad;08.07.2026;<15;<15;<300;1,3;0,8;21,4;keine;keine;gruen
Tegeler See, gegenüber Scharfenberg;08.07.2026;<15;<15;<300;> 1;1,3;21,1;keine;keine;gruen
Tegeler See, gegenüber Reiswerder;08.07.2026;<15;<15;<300;> 1;0,3;20,5;keine;keine;gruen
Tegeler See, Saatwinkel;08.07.2026;<15;<15;<300;> 1;3,1;20,4;keine;keine;gruen
Tegeler See, Reiherwerder;08.07.2026;<15;<15;<300;> 1;0;21;keine;keine;gruen
Groß Glienicker See, nördlich;09.07.2026;<15;<15;<300;> 1;15;20,2;;Vermehrt Blaualgen vorhanden. Die gemessenen Blaualgen-Toxinkonzentrationen liegen weit unter den UBA-Leitwerten.;gruen
Groß Glienicker See, südlich;09.07.2026;<15;<15;<300;> 1;;20,1;keine;Vermehrt Blaualgen vorhanden. Die gemessenen Blaualgen-Toxinkonzentrationen liegen weit unter den UBA-Leitwerten.;gruen
Kleine Badewiese;09.07.2026;161;232;2300;< 1;9,4;20,6;keine;keine;gruen_pognose
Grunewaldturm;09.07.2026;<15;<15;<300;0,9;3,3;20,8;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Lieper Bucht;09.07.2026;15;<15;<300;> 1;4,8;20,9;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Breitehorn;09.07.2026;<15;15;<300;> 1;7,2;20,6;keine;Blaualgenmassenentwicklungen im Hoch- und Spätsommer möglich;gruen_pognose
Radfahrerwiese;09.07.2026;<15;61;<300;< 1;20;19,8;keine;Vermehrt Blaualgen vorhanden. Gemäß UBA-Empfehlung finden zusätzliche Untersuchugen auf Blaualgen-Toxine statt.;gruen_pognose
Alter Hof;09.07.2026;77;30;2300;1,5;1,4;20,9;keine;keine;gruen
Wannsee, Strandbad;09.07.2026;<15;<15;<300;>1,20;2,7;20,5;keine;Vermehrtes Wachstum von Wasserpflanzen;gruen
Sandhauser Straße;13.07.2026;<15;<15;<300;0,8;10;23,7;keine;keine;gruen
Bürgerablage;13.07.2026;15;<15;<300;0,8;12;23,4;keine;keine;gruen
Tegeler See, Strandbad;13.07.2026;<15;<15;<300;1,8;5,4;23;keine;keine;gruen
Tegeler See, gegenüber Scharfenberg;13.07.2026;<15;<15;<300;1,5;6,5;22,8;keine;keine;gruen
Tegeler See, gegenüber Reiswerder;13.07.2026;15;<15;<300;2,2;0;23,3;keine;keine;gruen
Tegeler See, Saatwinkel;13.07.2026;<15;<15;<300;1,6;0,1;23,5;keine;keine;gruen
Tegeler See, Reiherwerder;13.07.2026;<15;<15;<300;2,3;0,1;22,7;keine;keine;gruen
